Name;M;M1;N;X0;eps;h;n;r0;repetition;rho;sigma;tipo;average;max;min;timeSGD
N:100-n:8-r0:10-rho:0.8-M:1;1;1000000;100;0,5;0,01;0,01;8;10;100;0,8;0,5;lagrange;1100,15;3009;136;19.944.522.185.499.900
N:100-n:8-r0:10-rho:0.7-M:10000;10000;1000000;100;0,5;0,01;0,01;8;10;100;0,7;0,5;lagrange;4,57;5;4;14.926.216.976.200.500
N:100-n:8-r0:10-rho:0.7-M:1000;1000;1000000;100;0,5;0,01;0,01;8;10;100;0,7;0,5;lagrange;6,11;17;4;0,144319526
N:100-n:8-r0:10-rho:0.7-M:100;100;1000000;100;0,5;0,01;0,01;8;10;100;0,7;0,5;lagrange;22,51;48;6;0,086759704
N:100-n:8-r0:10-rho:0.7-M:10;10;1000000;100;0,5;0,01;0,01;8;10;100;0,7;0,5;lagrange;157,57;404;40;0,372977715
N:100-n:8-r0:10-rho:0.7-M:1;1;1000000;100;0,5;0,01;0,01;8;10;100;0,7;0,5;lagrange;1602,05;4339;348;2.905.045.171.100.060
N:100-n:8-r0:10-rho:0.6-M:10000;10000;1000000;100;0,5;0,01;0,01;8;10;100;0,6;0,5;lagrange;5,17;6;5;1.699.225.197.170.010
N:100-n:8-r0:10-rho:0.6-M:1000;1000;1000000;100;0,5;0,01;0,01;8;10;100;0,6;0,5;lagrange;7,08;15;5;0,165455107
N:100-n:8-r0:10-rho:0.6-M:100;100;1000000;100;0,5;0,01;0,01;8;10;100;0,6;0,5;lagrange;26,02;62;6;0,099740539
N:100-n:8-r0:10-rho:0.6-M:10;10;1000000;100;0,5;0,01;0,01;8;10;100;0,6;0,5;lagrange;213,95;710;36;0,498343072
N:100-n:8-r0:10-rho:0.6-M:1;1;1000000;100;0,5;0,01;0,01;8;10;100;0,6;0,5;lagrange;2890,04;4999;622;5.229.122.097.509.970
N:100-n:8-r0:5-rho:0.9-M:10000;10000;1000000;100;0,5;0,01;0,01;8;5;100;0,9;0,5;lagrange;2,04;3;2;0,672996563
N:100-n:8-r0:5-rho:0.9-M:1000;1000;1000000;100;0,5;0,01;0,01;8;5;100;0,9;0,5;lagrange;3,83;18;2;0,09367877
