Name;K;M;M1;N;N1;T;X0;eps;h;n;r0;repetition;rho;sigma;tau;tipo;average;max;min;timeSGD
r0:5-rho:0.9-M:1000-K:0.0005-tau:0.1-n:8;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;0,1;lagrange;5,7;10;4;0,277182342
r0:5-rho:0.9-M:1000-K:0.0005-tau:0.1-n:7;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;0,1;lagrange;6,3;10;4;0,283588607
r0:5-rho:0.9-M:1000-K:0.0005-tau:0.1-n:6;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;0,1;lagrange;8,3;20;5;0,341937025
r0:5-rho:0.9-M:1000-K:0.0005-tau:0.1-n:5;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;0,1;lagrange;7,1;12;6;0,270974863
r0:5-rho:0.9-M:1000-K:0.0005-tau:0.1-n:4;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;0,1;lagrange;10,1;22;7;0,347954826
r0:5-rho:0.9-M:1000-K:0.0005-tau:0.1-n:3;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;0,1;lagrange;10,9;15;8;0,346149625
r0:5-rho:0.9-M:1000-K:0.0007-tau:1-n:8;0,0007;1000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;1;lagrange;11,6;30;4;0,548328123
r0:5-rho:0.9-M:1000-K:0.0007-tau:1-n:7;0,0007;1000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;1;lagrange;7;12;4;0,314817017
r0:5-rho:0.9-M:1000-K:0.0007-tau:1-n:6;0,0007;1000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;1;lagrange;11,5;49;5;0,471446126
r0:5-rho:0.9-M:1000-K:0.0007-tau:1-n:5;0,0007;1000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;1;lagrange;6,1;8;5;0,234532482
r0:5-rho:0.9-M:1000-K:0.0007-tau:1-n:4;0,0007;1000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;1;lagrange;12,6;49;7;0,436228306
r0:5-rho:0.9-M:1000-K:0.0007-tau:1-n:3;0,0007;1000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;1;lagrange;10,3;16;8;0,328485742
